budget,bin4(>66000000),"bine3(>25000000,<66000000)","bin2(>9000000,<25000000)",bin1(<=9000000),Drama,Thriller,Animation,Adventure,Comedy,Horror,Fantasy,War,Lions Gate Films,Universal Pictures,Lucasfilm,Twisted Pictures,Danjaq,Blumhouse Productions,United Artists,Twentieth Century Fox Film Corporation,Eon Productions,Paramount Pictures,Warner Bros.,Platinum Dunes,Columbia Pictures Corporation,Twentieth Century Fox Film Corporation,Universal Pictures,Walt Disney Pictures,New Line Cinema,Temple Hill Entertainment,Orion Pictures,Amblin Entertainment,Sylvester Stallone,Samuel L. Jackson,Morgan Freeman, Ian McKellen,Eddie Murphy,Bernard Lee,Arnold Schwarzenegger,Keanu Reeves,Leonard Nimoy,Daniel Radcliffe,Laurence Fishburne,Vin Diesel,Ben Stiller,Ralph Fiennes,Tom Hanks,Rupert Grint,Michelle Rodriguez,Mike Myers,Ice Cube,Willem Dafoe,Michael Caine,Emma Watson,woman director,during credits stinger,independent film,violence,love,revenge,base on novel,friendship,nudity,biograhy,murder,dystopia,sequel,drug,los angeles,Steven Spielberg,Clint Eastwood,Woody Allen,Ridley Scott,Ron Howard,Tim Burton,Robert Zemeckis,Brian De Palma,Algred Hitchcock,Martin Scorsese,Chris Kentis,David Hand,Sean S. Cunningham,Tom Laughlin,Jim Sharman,John Carpenter,Joel Zwick,Peter Faiman,Geore A.Romero,John Lounsbery,ROI,Success(median),Success 2(average)
650000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.62,1,1
350000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,1
5000000,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72.75,1,1
200000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,1,1
11000000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.49,1,1
3500000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.75,1,1
7000000,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.24,1,1
5000000,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.64,1,1
1500000,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.67,1,1
950000,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.74,1,1
